货主,商品编码,商品名称,规格,账面库存,已分配,锁定,残次,可用,明细行数
名创,4570046930105,浅香百合氨基酸丝滑柔嫩沐浴露750ml,750ml,12,0,0,0,12,1
名创,4891338000918,好来双重薄荷牙膏225g,225g,24,0,0,0,24,1
名创,4891338010542,好来茶倍健龙井绿茶牙膏190g,190g,3,0,0,0,3,1
名创,490331186403,狮王牙膏荷兰薄荷香型150克,150克,11,0,0,0,11,1
名创,6901070600173,云南白药薄荷香型牙膏150g,150g,18,0,0,0,18,1
名创,6901070604690,云南白药留兰香型牙膏215g,215g,9,0,0,0,9,1
名创,6901236300367,维达厨房湿巾 60 片 L 码,60 片 L 码,20,0,0,0,20,1
名创,6901236383094,维达抽取式厨房纸巾3包80抽L码,3包80抽L码,12,0,0,0,12,1
名创,6901294172173,六神冰凉劲爽沐浴露（冰片 + 桑叶）1.5kg / 瓶,（冰片 + 桑叶）1.5kg / 瓶,6,0,0,0,6,1
名创,6901294177017,六神花露水195ml,195ml,8,0,0,0,8,1
名创,6901294206199,六神清凉爽肤沐浴露 700m,700m,2,0,0,0,2,1
名创,6901358101798,华力电热蚊香液 绿宝宝 (40 夜),(40 夜),18,0,0,0,18,1
名创,6901404300854,上海硫磺皂85g,85g,42,0,0,0,42,1
名创,6901586106169,威猛先生厨房重油污净清新柠檬味500克,500克,8,0,0,0,8,1
名创,6901894121434,白猫餐饮专供洗洁精5kg,5kg,0,0,0,0,0,1
名创,6902022137259,蓝月亮亮白增艳薰衣草洗衣液2Kg,2Kg,23,0,0,0,23,1
名创,6902022137334,蓝月亮洗衣液薰衣草香500g,500g,16,0,0,0,16,1
名创,6902088106077,夏士莲黑亮滋养去屑洗发露750g,750g,5,0,0,0,5,1
名创,6902088114003,力士新活炫亮系列-水润丝滑洗发乳750ML750 克,750ML,5,0,0,0,5,1
名创,6902088124187,清扬樱花沁爽香型洗发露 750 克,750 克,20,0,0,0,20,1
名创,6902088126952,清扬控油清爽型500ML洗发水,500ML,16,0,0,0,16,1
名创,6902088126990,清扬男士多效水润养护去屑洗发露 500克,500克,7,0,0,0,7,1
名创,6902088127003,海飞丝去屑清爽去油型洗发露500克,500克,14,0,0,0,14,1
名创,6902088127010,清扬去屑樱花沁爽香型洗发露 500克,500克,1,0,0,0,1,1
名创,6902088134629,清扬男士劲凉冰爽型洗发露 100 克,100 克,2,0,0,0,2,1
名创,6902088310788,力士沐浴露幽莲魅肤1000ml,1000ml,10,0,0,0,10,1
名创,6902088422825,多芬浓密泡泡清甜奶香沐浴露400g,400g,5,0,0,0,5,1
名创,6902088422870,多芬樱花甜香保湿爽肤清洁沐浴露400g,400g,9,0,0,0,9,1
名创,6902088435628,多芬弹润水嫩清爽沐浴露300g,300g,14,0,0,0,14,1
名创,6902088708127,奥妙柠檬2块装洗衣皂206g*2,206g*2,12,0,0,0,12,1
名创,6902088714753,奥妙除菌除螨洗衣液3kg,3kg,6,0,0,0,6,1
名创,6902088714774,奥妙除菌除螨洗衣液400g,400g,16,0,0,0,16,1
名创,6902088929829,奥妙除菌洗衣凝珠 50颗,50颗,47,0,0,0,47,1
名创,6902088951165,清扬养根韧发洗发水500ML,500ML,13,0,0,0,13,1
名创,6902088964141,力士水润丝滑玻尿酸润发乳160g,160g,6,0,0,0,6,1
名创,6902088967067,力士幽莲魅肤沐浴露350g,350g,8,0,0,0,8,1
名创,6902132007060,冷酸灵抗敏感水果薄荷牙膏150克,150克,15,0,0,0,15,1
名创,6902132085488,冷酸灵抗敏感水果薄荷牙膏90克,90克,9,0,0,0,9,1
名创,6902312187889,榄菊蚊香（无烟无香）10 圈,（无烟无香）10 圈,13,0,0,0,13,1
名创,6902312298189,榄菊速杀型杀虫气雾剂600ml-蓝色,600ml-蓝色,9,0,0,0,9,1
名创,6902312301599,榄菊加大盘野菊花蚊香36盘-桶装,36盘-桶装,21,0,0,0,21,1
名创,6903148078907,汰渍净白去渍洗衣粉1.15kg,1.15kg,12,0,0,0,12,1
名创,6903148078914,汰渍净白护色去渍升级洗衣粉2.55kg,2.55kg,10,0,0,0,10,1
名创,6903148078945,汰渍柠檬清新洗衣粉1.15kg,1.15kg,0,0,0,0,0,1
名创,6903148082133,舒肤佳纯白清香沐浴露 1000 克,1000 克,12,0,0,0,12,1
名创,6903148091449,潘婷乳液修护洗发露750g,750g,5,0,0,0,5,1
名创,6903148091470,潘婷PRO-V丝质顺滑型洗发露400g,400g,6,0,0,0,6,1
名创,6903148091487,潘婷丝质顺滑洗发露 750克,750克,5,0,0,0,5,1
名创,6903148131404,飘柔双效去屑清爽型洗发露1000g,1000g,4,0,0,0,4,1
名创,6903148131411,飘柔双效水润兰花香型洗发露 1kg,1kg,19,0,0,0,19,1
名创,6903148144541,舒肤佳纯白清香型香皂100g,100 克,32,0,0,0,32,1
名创,6903148193150,潘婷乳液修护润发精华素500ml,500ml,4,0,0,0,4,1
名创,6903148209097,海飞丝清爽控油型洗发露700ml,700ml,8,0,0,0,8,1
名创,6903148209103,海飞丝丝质柔滑型去屑洗发露 700 克,700 克,13,0,0,0,13,1
名创,6903148225783,飘柔兰花香型洗发露 1000克,1000克,45,0,0,0,45,1
名创,6903148252055,舒肤佳洗手液 纯白 225 克,225 克,9,0,0,0,9,1
名创,6903148252062,舒肤佳洗手液 柠檬 225 克,225 克,10,0,0,0,10,1
名创,6903148264027,海飞丝清爽去油型洗发露 500克,500克,9,0,0,0,9,1
名创,6903148326893,舒肤佳香皂纯白+柠檬特惠装,-,14,0,0,0,14,1
名创,6903148355848,舒肤佳沉澈沐浴露乌木玫瑰香570ml,570ml,6,0,0,0,6,1
名创,6903244675208,心相印6包装/提,6包装/提,4,0,0,0,4,1
名创,6903244678377,心相印10包装/提,10包装/提,2,0,0,0,2,1
名创,6904866161117,B052金鹿500ml杀虫气雾剂-柠檬,500ml,9,0,0,0,9,1
名创,6904866165269,金鹿儿乐宝电热蚊香液无香型1+3 152晚,无香型1+3 152晚,12,0,0,0,12,1
名创,6904866166464,C113 金鹿电热蚊香液 2 瓶装（无味）,2 瓶装（无味）,8,0,0,0,8,1
名创,6904915641287,蜂花柔亮营养护发素 1L （蓝）,1L （蓝）,4,0,0,0,4,1
名创,6904915641294,蜂花柔亮营养护发素 1L （黄）,1L（） 黄）,7,0,0,0,7,1
名创,6914068002255,洁柔蓝面子卷筒纸140g*12卷,140g*12卷,1,0,0,0,1,1
名创,6917246008360,曼秀雷敦保湿活力洁面乳150克,150克,0,0,0,0,0,1
名创,6920174749212,立白 天然亮白低泡洗衣液薰衣草香1kg/瓶,1kg/瓶,6,0,0,0,6,1
名创,6920174758948,立白凝珠52颗 日晒清香型,52颗 日晒清香型,16,0,0,0,16,1
名创,6920174766769,立白凝珠52颗 静雅樱花香,52颗 静雅樱花香,16,0,0,0,16,1
名创,6920354808289,高露洁冰爽牙膏 三重薄荷 120 克,120 克,2,0,0,0,2,1
名创,6920354812286,高露洁超密丝护龈牙刷2支装,2支装,30,0,0,0,30,1
名创,6920354832697,高露洁牙刷 2支装宽柔洁超密丝纤细软毛,2支装,21,0,0,0,21,1
名创,6921284451026,洁伶淘淘氧棉天山白夜用卫生巾(无香型)355mm6片,355mm6片,0,0,0,0,0,1
名创,6921284451033,洁伶淘淘氧棉天山白日用卫生巾(无香型)240mm10片,(无香型)240mm10片,0,0,0,0,0,1
名创,6921284451187,S洁伶淘淘氧棉丝薄410夜用卫生巾,-,0,0,0,0,0,1
名创,6921284451224,淘淘小扇尾无香型纯棉表层轻薄透气13片卫生巾,13片装,0,0,0,0,0,1
名创,6921284451668,淘淘天山白小蛮腰熟睡裤 L-XL码×3片,L-XL码×3片,0,0,0,0,0,1
名创,6921284493972,淘淘天山白180mm迷你卫生巾 无香型,180mm无香型,30,0,0,0,30,1
名创,6921382733079,澳雪百合花香沐浴露2kg,2kg,15,0,0,0,15,1
名创,6922266434686,清风厨房用纸,-,4,0,0,0,4,1
名创,6922266452161,清风金装卷筒卫生巾4层10卷/提,4层10卷/提,0,0,0,0,0,1
名创,6922266489457,清风棉柔亲肤面巾纸,-,5,0,0,0,5,1
名创,6922266493331,清风3层原木经典100抽/300张,100抽/300张,0,0,0,0,0,1
名创,6923427904826,半亩花田米酵氨基酸泡泡洁面慕斯500g,500g,8,0,0,0,8,1
名创,6923427908961,半亩花田玫瑰花瓣香氛沐浴露 500g,500g,9,0,0,0,9,1
名创,6923427913330,半亩花田轻盈控油香氛洗发水 750g,750g,7,0,0,0,7,1
名创,6923427913347,半亩花田清爽去屑香氛洗发水750g(雨后清茶),750g(雨后清茶),4,0,0,0,4,1
名创,6923476149087,倍加洁特惠装牙刷 6 支装,6 支装,10,0,0,0,10,1
名创,6923909520087,朵朵贝儿婴幼儿牛奶润肤沐浴露1kg,1kg,13,0,0,0,13,1
名创,6923909520117,朵朵贝儿洗发沐浴露二合一 1kg,二合一 1kg,5,0,0,0,5,1
名创,6924279219243,小叮当儿童防龋奥拉氟(草莓)牙膏(2-6岁)70g,70g,30,0,0,0,30,1
名创,6924975865683,小浣熊换牙宝儿童牙膏 鲜鲜橙子味,-,4,0,0,0,4,1
名创,6926052515016,自由点155mm卫生护垫20片装,20片装,25,0,0,0,25,1
名创,6926052515276,自由点240mm日用卫生巾8片装,8片装,21,0,0,0,21,1
名创,6928471321803,舒客防蛀健白牙膏 清香柠檬型 180 克,180 克,18,0,0,0,18,1
名创,6928471322589,舒客悠净清新牙膏 清悦鲜果香型 120 克,120 克,20,0,0,0,20,1
名创,6928471324453,舒客专效清新牙膏(冰川薄荷)190g,190g,17,0,0,0,17,1
名创,6928926003797,好来茶倍健小茶管芝芝雪顶牙膏80g,80g,18,0,0,0,18,1
名创,6928926003810,好来茶倍健小茶管玫荔多妍牙膏80g,80g,68,0,0,0,68,1
名创,6928926006958,好来清新双效牙有200g,200g,20,0,0,0,20,1
名创,6933179223168,纳美科学实惠装牙刷2支装,2支装,36,0,0,0,36,1
名创,6933179230104,纳美小苏打源生护龈牙膏120g+40g,120g+40g,30,0,0,0,30,1
名创,6933179239350,纳美小苏打双重薄荷牙膏225g,225g,17,0,0,0,17,1
名创,6933179239374,纳美小苏打双重薄荷牙膏225g,225g,10,0,0,0,10,1
名创,6934660522258,苏菲弹力贴身23cm卫生巾10片装 日用,23cm卫生巾10片装,0,0,0,0,0,1
名创,6934660550299,苏菲超熟睡安心裤XL2条装,XL2条装,27,0,0,0,27,1
名创,6934660550398,苏菲超熟睡安心裤 L×2条 9包-旧包装（临期,L×2条 9包-旧包装,9,0,0,0,9,1
名创,6934660551385,苏菲超熟睡安心裤 L 2条 66包 新包装,L 2条,66,0,0,0,66,1
名创,6934660555119,苏菲口袋魔法零味感棉柔240mm10片,240mm10片,0,0,0,0,0,1
名创,6934660556123,苏菲口袋魔法24cm日用卫生巾16片装,16片装,30,0,0,0,30,1
名创,6934660561660,1660/苏菲超熟睡柔棉感420 4片,4片,14,0,0,0,14,1
名创,6936501012126,浅香日本扁柏氨基酸洗发水 750g,750g,5,0,0,0,5,1
名创,6940477402003,舒客红花清火牙膏 120 克,120 克,2,0,0,0,2,1
名创,6942826410646,家家宜柠檬全效洗洁精1.5千kg,1.5千kg,0,0,0,0,0,1
名创,6949044601580,青蛙王子儿童沐浴露 柚柚香 1000 克,柚柚香 1000 克,11,0,0,0,11,1
名创,6949044601597,青蛙王子儿童沐浴露 牛奶香1000 克,牛奶香1000 克,4,0,0,0,4,1
名创,6957411123245,老管家花香洁厕宝 50 克,50 克,39,0,0,0,39,1
名创,6970171568026,时尚优家小白鞋净100ml,100ml,0,0,0,0,0,1
名创,6970635464528,理然防晒喷雾 150ML,150ML,0,0,0,0,0,1
名创,6970856720602,小浣熊驱蚊花露水艾草香型195ml,195ml,6,0,0,0,6,1
名创,6971121941180,绿川可湿水XL码抽纸400张*8包,400张*8包,158,0,0,0,158,1
名创,6971121941203,绿川多功能悬挂抽纸,-,11,0,0,0,11,1
名创,6971492650018,洁白旋风洁厕宝1kg,1kg,8,0,0,0,8,1
名创,6972038733097,齿工学软毛牙刷家庭装8支装,8支装,32,0,0,0,32,1
名创,6972841461088,隆力奇前驱蚊花露水195ML,195ML,10,0,0,0,10,1
名创,6972898190023,200g田七牙膏(特效中药),200g,14,0,0,0,14,1
名创,6973181610686,活力28洗衣液薰衣草香2KG,2KG,136,0,0,0,136,1
名创,6973354665987,苏山爸爸在哪儿茉莉花茶洗衣液5L*4瓶装,5L*4瓶装,0,0,0,0,0,1
名创,6973688402326,水卫士管道疏通剂 500 克,500 克,16,0,0,0,16,1
名创,6974354665007,他研社春眠小裤M-L号,M-L号,32,0,0,0,32,1
名创,6974354668404,他研社240mm日用卫生巾8片装,240mm8片装,25,0,0,0,25,1
名创,6974760970375,苏山爸爸在哪儿山茶花香洗衣液2L,2L,56,0,0,0,56,1
名创,69760069380077,蛙牌洁厕净500ml,500ml,7,0,0,0,7,1
名创,6976556401339,舒可兔婴儿手口湿巾 80片,80片,16,0,0,0,16,1
名创,9345521000933,绿色溪谷茶树舒爽沐浴露 700g,700g,4,0,0,0,4,1
名创,9345521000940,绿色溪谷橙花亮肤沐浴露 700g,700g,8,0,0,0,8,1
